Time Step - No.;Time Step - Repetitions;Newton Iterations;Cumulative Time - DAYS;Date;Cumulative Production Oil MSTB;Cumulative Production Gas MMSCF;Cumulative Production Water MSTB;Cumulative Injection Gas MMSCF;Cumulative Injection Water MSTB;Production Rate Oil STB/D;Production Rate Gas MSCF/D;Production Rate Water STB/D;Injection Rate Gas MSCF/D;Injection Rate Water STB/D;Gaslift Rate - MSCF/D;Cumulative Gaslift - MMSCF;Gas Oil Ratio MSCF/STB;Water Oil Ratio STB/STB;Water Cut - STB/STB;Recovery OOIP - %;Ave.Wt. Pressure Tot-PV PSIA;Ave.Wt. Pressure HCPV+ PSIA;CPU TIME - Seconds;Elapsed TIME - Seconds
122;0;1;3347;Wed Mar 01 00:00:00 GST 2000;0;0;8182.227;0;0;0;0;0;0;0;0;0;0;0;0;0;4755.9;4680.79;611;613.6
123;0;1;3378;Sat Apr 01 00:00:00 GST 2000;0;0;8182.227;0;0;0;0;0;0;0;0;0;0;0;0;0;4755.93;4680.68;615.7;618.4
124;0;1;3408;Mon May 01 00:00:00 GST 2000;0;0;8182.227;0;0;0;0;0;0;0;0;0;0;0;0;0;4755.95;4680.57;620.2;622.9
125;0;1;3439;Thu Jun 01 00:00:00 GST 2000;0;0;8182.227;0;0;0;0;0;0;0;0;0;0;0;0;0;4755.97;4680.46;624.8;627.5
126;0;1;3469;Sat Jul 01 00:00:00 GST 2000;0;0;8182.227;0;0;0;0;0;0;0;0;0;0;0;0;0;4756;4680.36;631.1;633.7
127;0;1;3500;Tue Aug 01 00:00:00 GST 2000;0;0;8182.227;0;0;0;0;0;0;0;0;0;0;0;0;0;4756.02;4680.25;635.6;638.3
128;0;1;3531;Fri Sep 01 00:00:00 GST 2000;0;0;8182.227;0;0;0;0;0;0;0;0;0;0;0;0;0;4756.04;4680.15;640.1;642.8
129;0;1;3561;Sun Oct 01 00:00:00 GST 2000;0;0;8182.227;0;0;0;0;0;0;0;0;0;0;0;0;0;4756.06;4680.05;644.7;647.4
130;0;1;3592;Wed Nov 01 00:00:00 GST 2000;0;0;8182.227;0;0;0;0;0;0;0;0;0;0;0;0;0;4756.09;4679.94;649.4;652.1
131;0;1;3622;Fri Dec 01 00:00:00 GST 2000;0;0;8182.227;0;0;0;0;0;0;0;0;0;0;0;0;0;4756.11;4679.84;653.9;656.6
